country_name,year,population
Holy See,2024,"86,260,417"
Holy See,2023,"85,816,199"
Holy See,2022,"85,341,241"
Holy See,2020,"84,135,428"
Holy See,2015,"79,646,178"
Holy See,2010,"73,195,345"
Holy See,2005,"68,704,715"
Holy See,2000,"64,113,547"
Holy See,1995,"59,305,490"
Holy See,1990,"54,324,142"
Holy See,1985,"49,175,673"
Holy See,1980,"44,089,069"
Holy See,1975,"39,673,590"
Holy See,1970,"35,540,990"
Holy See,1965,"31,374,536"
Holy See,1960,"27,510,980"
Holy See,1955,"23,821,353"
Holy See,2024,"129,388,467"
Holy See,2023,"128,455,567"
Holy See,2022,"127,504,125"
Holy See,2020,"125,998,302"
Holy See,2015,"120,149,897"
Holy See,2010,"112,532,401"
Holy See,2005,"105,442,402"
Holy See,2000,"97,873,442"
Holy See,1995,"89,969,572"
Holy See,1990,"81,720,428"
Holy See,1985,"74,872,006"
Holy See,1980,"67,705,186"
Holy See,1975,"58,691,882"
Holy See,1970,"50,289,306"
Holy See,1965,"42,737,991"
Holy See,1960,"36,268,055"
Holy See,1955,"31,452,141"
Holy See,2024,"143,957,079"
Holy See,2023,"144,444,359"
Holy See,2022,"144,713,314"
Holy See,2020,"145,617,329"
Holy See,2015,"144,668,389"
Holy See,2010,"143,242,599"
Holy See,2005,"143,800,049"
Holy See,2000,"146,844,839"
Holy See,1995,"148,557,451"
Holy See,1990,"148,005,704"
Holy See,1985,"142,896,392"
Holy See,1980,"138,257,420"
Holy See,1975,"133,841,842"
Holy See,1970,"130,093,010"
Holy See,1965,"126,400,607"
Holy See,1960,"119,735,095"
Holy See,1955,"110,971,852"
Holy See,2024,"114,484,252"
Holy See,2023,"112,716,598"
Holy See,2022,"110,990,103"
Holy See,2020,"107,465,134"
Holy See,2015,"97,723,799"
Holy See,2010,"87,252,413"
Holy See,2005,"79,075,310"
Holy See,2000,"71,371,371"
Holy See,1995,"64,166,908"
Holy See,1990,"57,214,630"
Holy See,1985,"50,035,843"
Holy See,1980,"43,748,556"
Holy See,1975,"38,775,584"
Holy See,1970,"34,781,986"
Holy See,1965,"30,818,469"
Holy See,1960,"27,034,499"
Holy See,2024,"99,497,680"
Holy See,2023,"98,858,950"
Holy See,2022,"98,186,856"
Holy See,2020,"96,648,685"
Holy See,2015,"92,191,398"
Holy See,2010,"87,411,012"
Holy See,2005,"83,142,095"
Holy See,2000,"79,001,142"
Holy See,1995,"73,759,110"
Holy See,1990,"66,912,613"
Holy See,1985,"59,811,313"
Holy See,1980,"52,968,270"
Holy See,1975,"46,969,616"
Holy See,1970,"41,928,849"
Holy See,1965,"37,466,077"
Holy See,1960,"32,718,461"
Holy See,1955,"28,263,031"
Holy See,1955,"23,841,701"
Holy See,2024,"122,631,432"
Holy See,2023,"123,294,513"
Holy See,2022,"123,951,692"
Holy See,2020,"125,244,761"
Holy See,2015,"127,250,933"
Holy See,2010,"128,105,431"
Holy See,2005,"127,798,373"
Holy See,2000,"126,803,861"
Holy See,1995,"125,433,969"
Holy See,1990,"123,686,321"
Holy See,1985,"121,119,031"
Holy See,1980,"117,624,196"
Holy See,1975,"112,411,640"
Holy See,1970,"105,416,839"
Holy See,1965,"99,468,746"
Holy See,1960,"94,464,839"
Holy See,1955,"90,090,281"
Holy See,2024,"89,809,781"
Holy See,2023,"89,172,767"
Holy See,2022,"88,550,570"
Holy See,2020,"87,290,193"
Holy See,2015,"81,790,841"
Holy See,2010,"75,373,855"
Holy See,2005,"70,182,594"
Holy See,2000,"65,544,383"
Holy See,1995,"60,794,809"
Holy See,1990,"55,793,629"
Holy See,1985,"47,266,160"
Holy See,1980,"38,520,664"
Holy See,1975,"32,856,976"
Holy See,1970,"28,449,705"
Holy See,1965,"24,667,026"
Holy See,1960,"21,388,806"
Holy See,1955,"18,873,864"
Holy See,2024,"174,701,211"
Holy See,2023,"172,954,319"
Holy See,2022,"171,186,372"
Holy See,2020,"167,420,951"
Holy See,2015,"157,830,000"
Holy See,2010,"148,391,139"
Holy See,2005,"140,912,590"
Holy See,2000,"129,193,327"
Holy See,1995,"117,793,338"
Holy See,1990,"107,147,651"
Holy See,1985,"95,959,099"
Holy See,1980,"83,929,765"
Holy See,1975,"74,700,345"
Holy See,1970,"67,541,860"
Holy See,1965,"58,500,159"
Holy See,1960,"50,396,429"
Holy See,1955,"44,315,548"
Holy See,2024,"217,637,297"
Holy See,2023,"216,422,446"
Holy See,2022,"215,313,498"
Holy See,2020,"213,196,304"
Holy See,2015,"205,188,205"
Holy See,2010,"196,353,492"
Holy See,2005,"186,797,334"
Holy See,2000,"175,873,720"
Holy See,1995,"163,515,328"
Holy See,1990,"150,706,446"
Holy See,1985,"136,783,180"
Holy See,1980,"122,288,383"
Holy See,1975,"108,700,515"
Holy See,1970,"96,369,875"
Holy See,1965,"84,623,747"
Holy See,1960,"73,092,515"
Holy See,1955,"62,701,031"
